station_name,station_lat,station_lon,nearest_river,pub_name,pub_lat,pub_lon,distance_to_pub_m
Bank,51.5131048,-0.0893749,River Thames,Pitcher and Piano,51.5132258,-0.0867502,182.7046504
Barbican,51.5201501,-0.0986832,River Fleet,Sports Bar & Grill,51.5204548,-0.1033955,328.83125914
Barbican,51.5201501,-0.0986832,River Fleet,Sports Bar & Grill,51.5204548,-0.1033955,328.83125914
Barbican,51.5201501,-0.0986832,River Fleet,The Castle,51.5202193,-0.1041739,381.18635685
Barbican,51.5201501,-0.0986832,River Fleet,The Castle,51.5202193,-0.1041739,381.18635685
Barbican,51.5201501,-0.0986832,River Fleet,Clerkenwell Social,51.5221729,-0.1032382,388.07594688
Barnes,51.466783,-0.2411817,Beverley Brook,The Arab Boy,51.4628591,-0.2266975,1097.15924146
Barnes,51.466783,-0.2411817,Beverley Brook,The Arab Boy,51.4628591,-0.2266975,1097.15924146
Barnes,51.466783,-0.2411817,Beverley Brook,The Rocket,51.4655321,-0.2130828,1957.6002241
Barnes,51.466783,-0.2411817,Beverley Brook,The Rocket,51.4655321,-0.2130828,1957.6002241
Barnes,51.466783,-0.2411817,Beverley Brook,Bishops,51.474133,-0.2131703,2111.18649793
Barons Court,51.4903477,-0.2144055,River Thames,Reynold's Bar,51.4879025,-0.219236,431.94688753
Barons Court,51.4903477,-0.2144055,River Thames,Reynold's Bar,51.4879025,-0.219236,431.94688753
Barons Court,51.4903477,-0.2144055,River Thames,The Albion,51.4944109,-0.2127554,466.36262044
Barons Court,51.4903477,-0.2144055,River Thames,The Albion,51.4944109,-0.2127554,466.36262044
Barons Court,51.4903477,-0.2144055,River Thames,The Colton Arms,51.4865599,-0.210879,487.43578716
Battersea Park,51.47761,-0.1475846,River Thames,Masons Arms,51.4768147,-0.1468975,100.53856924
Battersea Park,51.47761,-0.1475846,River Thames,Masons Arms,51.4768147,-0.1468975,100.53856924
Battersea Park,51.47761,-0.1475846,River Thames,Paya and Horse,51.4758826,-0.1489065,213.00251893
Battersea Park,51.47761,-0.1475846,River Thames,Paya and Horse,51.4758826,-0.1489065,213.00251893
Battersea Park,51.47761,-0.1475846,River Thames,The Magic Garden,51.4753058,-0.1508474,342.20925331
Battersea Power Station,51.4796154,-0.1429709,River Thames,Masons Arms,51.4768147,-0.1468975,414.1387323
Battersea Power Station,51.4796154,-0.1429709,River Thames,Masons Arms,51.4768147,-0.1468975,414.1387323
Battersea Power Station,51.4796154,-0.1429709,River Thames,Battersea Brewery,51.4828518,-0.147044,457.94782293
Battersea Power Station,51.4796154,-0.1429709,River Thames,Battersea Brewery,51.4828518,-0.147044,457.94782293
Battersea Power Station,51.4796154,-0.1429709,River Thames,Nine Elms Tavern,51.4825263,-0.1375016,499.24505768
Beckenham Hill,51.4245222,-0.0159101,River Ravensbourne,The Fellowship Inn,51.4327487,-0.0198466,955.32202179
Beckenham Hill,51.4245222,-0.0159101,River Ravensbourne,The Fellowship Inn,51.4327487,-0.0198466,955.32202179
Beckenham Hill,51.4245222,-0.0159101,River Ravensbourne,Railway Tavern,51.4279898,-0.0332121,1263.72557708
Beckenham Hill,51.4245222,-0.0159101,River Ravensbourne,Railway Tavern,51.4279898,-0.0332121,1263.72557708
Beckenham Hill,51.4245222,-0.0159101,River Ravensbourne,Patrick's,51.4106029,-0.0247443,1666.09470837
Beckenham Junction,51.4110623,-0.0259866,Pool River,Patrick's,51.4106029,-0.0247443,100.41518767
Beckenham Junction,51.4110623,-0.0259866,Pool River,Patrick's,51.4106029,-0.0247443,100.41518767
Beckenham Junction,51.4110623,-0.0259866,Pool River,O'Neils,51.4104781,-0.024671,112.26296385
Beckenham Junction,51.4110623,-0.0259866,Pool River,O'Neils,51.4104781,-0.024671,112.26296385
Beckenham Junction,51.4110623,-0.0259866,Pool River,BR3WERY Craft Brewing Co.,51.4099147,-0.0456995,1377.48370482
Bellingham,51.4328307,-0.0195194,River Ravensbourne,The Fellowship Inn,51.4327487,-0.0198466,24.51509404
Bellingham,51.4328307,-0.0195194,River Ravensbourne,The Fellowship Inn,51.4327487,-0.0198466,24.51509404
Bellingham,51.4328307,-0.0195194,River Ravensbourne,Catford Cricket Club,51.4417841,-0.019064,996.62838617
Bellingham,51.4328307,-0.0195194,River Ravensbourne,Catford Cricket Club,51.4417841,-0.019064,996.62838617
Bellingham,51.4328307,-0.0195194,River Ravensbourne,Railway Tavern,51.4279898,-0.0332121,1094.02870572
Belsize Park,51.5503088,-0.1646146,River Fleet,The George,51.5524009,-0.1673616,300.80610744
Belsize Park,51.5503088,-0.1646146,River Fleet,The George,51.5524009,-0.1673616,300.80610744
Belsize Park,51.5503088,-0.1646146,River Fleet,The Lord Southampton,51.5497411,-0.156314,579.22075691
Belsize Park,51.5503088,-0.1646146,River Fleet,The Lord Southampton,51.5497411,-0.156314,579.22075691
Belsize Park,51.5503088,-0.1646146,River Fleet,The Magdala,51.5555828,-0.1656213,590.91899099
Bermondsey,51.4977004,-0.0643453,River Thames,St James Tavern,51.4954065,-0.065873,276.38714927
Bermondsey,51.4977004,-0.0643453,River Thames,St James Tavern,51.4954065,-0.065873,276.38714927
Bermondsey,51.4977004,-0.0643453,River Thames,Enid Tavern,51.4972372,-0.0716878,512.49289538
Bermondsey,51.4977004,-0.0643453,River Thames,Enid Tavern,51.4972372,-0.0716878,512.49289538
Bermondsey,51.4977004,-0.0643453,River Thames,Craft Beer Junction,51.4972722,-0.0717603,517.12887992
Blackfriars,51.5115854,-0.1037671,River Fleet,Rudds,51.5122568,-0.1016371,165.66635487
Blackfriars,51.5115854,-0.1037671,River Fleet,Rudds,51.5122568,-0.1016371,165.66635487
Blackfriars,51.5115854,-0.1037671,River Fleet,The Albion,51.5139036,-0.1045738,263.92833768
Blackfriars,51.5115854,-0.1037671,River Fleet,The Albion,51.5139036,-0.1045738,263.92833768
Blackfriars,51.5115854,-0.1037671,River Fleet,Crown & Sugar Loaf,51.5140324,-0.1050005,285.39570951
Blackheath,51.4657989,0.0089218,River Quaggy,O'Neill's,51.4667202,0.0078239,127.77885896
Blackheath,51.4657989,0.0089218,River Quaggy,O'Neill's,51.4667202,0.0078239,127.77885896
Blackheath,51.4657989,0.0089218,River Quaggy,The Crown,51.4665378,0.0071768,146.50240989
Blackheath,51.4657989,0.0089218,River Quaggy,The Crown,51.4665378,0.0071768,146.50240989
Blackheath,51.4657989,0.0089218,River Quaggy,The Princess of Wales,51.4693066,0.0104427,404.31451507
Blackhorse Road,51.5867174,-0.0416453,River Lee Flood Relief Channel,Untraditional Pub,51.5805937,-0.0322753,941.27669514
Blackhorse Road,51.5867174,-0.0416453,River Lee Flood Relief Channel,Untraditional Pub,51.5805937,-0.0322753,941.27669514
Blackhorse Road,51.5867174,-0.0416453,River Lee Flood Relief Channel,Pretty Decent,51.5826911,-0.0245938,1263.91668004
Blackhorse Road,51.5867174,-0.0416453,River Lee Flood Relief Channel,Pretty Decent,51.5826911,-0.0245938,1263.91668004
Blackhorse Road,51.5867174,-0.0416453,River Lee Flood Relief Channel,Mother Kelly's,51.5901221,-0.0615959,1433.64777478
Blackwall,51.5079378,-0.0071843,River Thames,BrewDog,51.5046438,-0.0146973,637.50540285
Blackwall,51.5079378,-0.0071843,River Thames,BrewDog,51.5046438,-0.0146973,637.50540285
Blackwall,51.5079378,-0.0071843,River Thames,The Tommy Flowers,51.513588,-0.0053807,640.97916636
Blackwall,51.5079378,-0.0071843,River Thames,The Tommy Flowers,51.513588,-0.0053807,640.97916636
Blackwall,51.5079378,-0.0071843,River Thames,Sports Bar & Grill,51.5062159,-0.0185144,809.63767682
Borough,51.5012094,-0.0935834,River Thames,Dover Castle,51.5004719,-0.0928618,96.14253331
Borough,51.5012094,-0.0935834,River Thames,Dover Castle,51.5004719,-0.0928618,96.14253331
Borough,51.5012094,-0.0935834,River Thames,Belushi's London Bridge,51.5028201,-0.0918016,217.76427177
Borough,51.5012094,-0.0935834,River Thames,Belushi's London Bridge,51.5028201,-0.0918016,217.76427177
Borough,51.5012094,-0.0935834,River Thames,The Sheaf,51.5048141,-0.0911485,435.23175501
Bow Church,51.5274411,-0.0206424,St Thomas Creek,The Morgan Arms,51.5278869,-0.0309851,719.47918129
Bow Church,51.5274411,-0.0206424,St Thomas Creek,The Morgan Arms,51.5278869,-0.0309851,719.47918129
Bow Church,51.5274411,-0.0206424,St Thomas Creek,The Galvanisers Union,51.5233491,-0.0109754,810.79460302
Bow Church,51.5274411,-0.0206424,St Thomas Creek,The Galvanisers Union,51.5233491,-0.0109754,810.79460302
Bow Church,51.5274411,-0.0206424,St Thomas Creek,Young Prince,51.5319557,-0.034095,1060.09654521
Bow Road,51.5268535,-0.024789,St Thomas Creek,The Morgan Arms,51.5278869,-0.0309851,445.1082544
Bow Road,51.5268535,-0.024789,St Thomas Creek,The Morgan Arms,51.5278869,-0.0309851,445.1082544
Bow Road,51.5268535,-0.024789,St Thomas Creek,Young Prince,51.5319557,-0.034095,859.82279407
Bow Road,51.5268535,-0.024789,St Thomas Creek,Young Prince,51.5319557,-0.034095,859.82279407
Bow Road,51.5268535,-0.024789,St Thomas Creek,The Galvanisers Union,51.5233491,-0.0109754,1034.94734524
Brent Cross,51.5768177,-0.2139731,River Brent,Claddagh Ring,51.5901278,-0.226129,1703.79302263
Brent Cross,51.5768177,-0.2139731,River Brent,Claddagh Ring,51.5901278,-0.226129,1703.79302263
Brent Cross,51.5768177,-0.2139731,River Brent,Whelan's,51.5667671,-0.233309,1745.7336431
Brent Cross,51.5768177,-0.2139731,River Brent,Whelan's,51.5667671,-0.233309,1745.7336431
Brent Cross,51.5768177,-0.2139731,River Brent,Lucky 7,51.5572254,-0.2148383,2180.64727086
Brent Cross West,51.5688188,-0.2265437,River Brent,Whelan's,51.5667671,-0.233309,521.68139322
Brent Cross West,51.5688188,-0.2265437,River Brent,Whelan's,51.5667671,-0.233309,521.68139322
Brent Cross West,51.5688188,-0.2265437,River Brent,Lucky 7,51.5572254,-0.2148383,1524.01932522
Brent Cross West,51.5688188,-0.2265437,River Brent,Lucky 7,51.5572254,-0.2148383,1524.01932522
Brent Cross West,51.5688188,-0.2265437,River Brent,McGovern's,51.5559388,-0.2145933,1655.38316536
Brockley,51.4642287,-0.0376125,River Ravensbourne,Parlez,51.4642009,-0.0373021,21.79182262
Brockley,51.4642287,-0.0376125,River Ravensbourne,Parlez,51.4642009,-0.0373021,21.79182262
Brockley,51.4642287,-0.0376125,River Ravensbourne,Joyce,51.4591881,-0.0340818,612.13591062
Brockley,51.4642287,-0.0376125,River Ravensbourne,Joyce,51.4591881,-0.0340818,612.13591062
Brockley,51.4642287,-0.0376125,River Ravensbourne,Crofton Park Tavern,51.4559687,-0.03659,921.72704368
Bromley-by-Bow,51.5246287,-0.0123189,Bow Creek,The Galvanisers Union,51.5233491,-0.0109754,170.1840696
Bromley-by-Bow,51.5246287,-0.0123189,Bow Creek,The Galvanisers Union,51.5233491,-0.0109754,170.1840696
Bromley-by-Bow,51.5246287,-0.0123189,Bow Creek,The Tommy Flowers,51.513588,-0.0053807,1319.40080561
Bromley-by-Bow,51.5246287,-0.0123189,Bow Creek,The Tommy Flowers,51.513588,-0.0053807,1319.40080561
Bromley-by-Bow,51.5246287,-0.0123189,Bow Creek,The Morgan Arms,51.5278869,-0.0309851,1345.20886542
Caledonian Road,51.548482,-0.1183585,River Fleet,The Cally,51.5457513,-0.1180862,304.4008549
Caledonian Road,51.548482,-0.1183585,River Fleet,The Cally,51.5457513,-0.1180862,304.4008549
Caledonian Road,51.548482,-0.1183585,River Fleet,Two Brewers,51.5462316,-0.1155259,318.27359895
Caledonian Road,51.548482,-0.1183585,River Fleet,Two Brewers,51.5462316,-0.1155259,318.27359895
Caledonian Road,51.548482,-0.1183585,River Fleet,The Jolly Sisters,51.5457466,-0.112832,489.4808452
Caledonian Road & Barnsbury,51.5435462,-0.1148864,River Fleet,Hemingford Arms,51.5430239,-0.1130904,137.48173971
Caledonian Road & Barnsbury,51.5435462,-0.1148864,River Fleet,Hemingford Arms,51.5430239,-0.1130904,137.48173971
Caledonian Road & Barnsbury,51.5435462,-0.1148864,River Fleet,Doyles Tavern,51.5437242,-0.1177134,197.11817836
Caledonian Road & Barnsbury,51.5435462,-0.1148864,River Fleet,Doyles Tavern,51.5437242,-0.1177134,197.11817836
Caledonian Road & Barnsbury,51.5435462,-0.1148864,River Fleet,The Jolly Sisters,51.5457466,-0.112832,283.27622003
Camden Road,51.5419498,-0.1395276,River Fleet,Camden Road Arms,51.5415402,-0.1383177,95.51215357
Camden Road,51.5419498,-0.1395276,River Fleet,Camden Road Arms,51.5415402,-0.1383177,95.51215357
Camden Road,51.5419498,-0.1395276,River Fleet,Werewolf Beer,51.5415191,-0.1363874,223.06568539
Camden Road,51.5419498,-0.1395276,River Fleet,Werewolf Beer,51.5415191,-0.1363874,223.06568539
Camden Road,51.5419498,-0.1395276,River Fleet,The Colonel Fawcett,51.54181,-0.1359896,245.94762496
Camden Town,51.5394397,-0.1426957,River Fleet,The World's End,51.5391316,-0.1422001,48.55276272
Camden Town,51.5394397,-0.1426957,River Fleet,The World's End,51.5391316,-0.1422001,48.55276272
Camden Town,51.5394397,-0.1426957,River Fleet,The Black Heart,51.5389171,-0.1418712,81.56629473
Camden Town,51.5394397,-0.1426957,River Fleet,The Black Heart,51.5389171,-0.1418712,81.56629473
Camden Town,51.5394397,-0.1426957,River Fleet,The Good Mixer,51.5394566,-0.1446078,132.67587657
Canada Water,51.4979299,-0.0498405,River Thames,The Brunel,51.5013181,-0.0509211,384.35971371
Canada Water,51.4979299,-0.0498405,River Thames,The Brunel,51.5013181,-0.0509211,384.35971371
Canada Water,51.4979299,-0.0498405,River Thames,The Moby Dick,51.4954636,-0.0395511,765.42699634
Canada Water,51.4979299,-0.0498405,River Thames,The Moby Dick,51.4954636,-0.0395511,765.42699634
Canada Water,51.4979299,-0.0498405,River Thames,Dockers Inn,51.5048793,-0.0573725,933.45568072
Canary Wharf,51.5061102,-0.0176241,River Thames,Sports Bar & Grill,51.5062159,-0.0185144,62.92325302
Canary Wharf,51.5061102,-0.0176241,River Thames,Sports Bar & Grill,51.5062159,-0.0185144,62.92325302
Canary Wharf,51.5051073,-0.0209849,River Thames,The Henry Addington,51.5043058,-0.0225667,141.47235098
Canary Wharf,51.5051073,-0.0209849,River Thames,The Henry Addington,51.5043058,-0.0225667,141.47235098
Canary Wharf,51.5051073,-0.0209849,River Thames,Sports Bar & Grill,51.5062159,-0.0185144,211.27224478
Canary Wharf,51.5051073,-0.0209849,River Thames,Sports Bar & Grill,51.5062159,-0.0185144,211.27224478
Canary Wharf,51.5061102,-0.0176241,River Thames,BrewDog,51.5046438,-0.0146973,260.60246828
Canary Wharf,51.5061102,-0.0176241,River Thames,BrewDog,51.5046438,-0.0146973,260.60246828
Canary Wharf,51.5035036,-0.0186272,River Thames,The Henry Addington,51.5043058,-0.0225667,287.72998188
Canary Wharf,51.5035036,-0.0186272,River Thames,The Henry Addington,51.5043058,-0.0225667,287.72998188
Canary Wharf,51.5035036,-0.0186272,River Thames,BrewDog,51.5046438,-0.0146973,300.9161455
Canary Wharf,51.5035036,-0.0186272,River Thames,BrewDog,51.5046438,-0.0146973,300.9161455
Canary Wharf,51.5035036,-0.0186272,River Thames,Sports Bar & Grill,51.5062159,-0.0185144,301.86649382
Canary Wharf,51.5061102,-0.0176241,River Thames,The Henry Addington,51.5043058,-0.0225667,397.58388277
Canary Wharf,51.5051073,-0.0209849,River Thames,BrewDog,51.5046438,-0.0146973,439.60270317
Canning Town,51.5139887,0.0082987,Bow Creek,Husk Brewery & Taproom,51.5133965,0.0094776,105.06524988
Canning Town,51.5139887,0.0082987,Bow Creek,Husk Brewery & Taproom,51.5133965,0.0094776,105.06524988
Canning Town,51.5139887,0.0082987,Bow Creek,The Tommy Flowers,51.513588,-0.0053807,950.66382254
Canning Town,51.5139887,0.0082987,Bow Creek,The Tommy Flowers,51.513588,-0.0053807,950.66382254
Canning Town,51.5139887,0.0082987,Bow Creek,Fox @ Excel,51.5088147,0.0255735,1330.27235325
Cannon Street,51.5113812,-0.0903632,River Thames,The Cannick Tapps,51.5116546,-0.0897347,53.18867247
Cannon Street,51.5113812,-0.0903632,River Thames,The Cannick Tapps,51.5116546,-0.0897347,53.18867247
Cannon Street,51.5113812,-0.0903632,River Thames,The Sir John Hawkshaw,51.510926,-0.0899801,57.203479
Cannon Street,51.5113812,-0.0903632,River Thames,The Sir John Hawkshaw,51.510926,-0.0899801,57.203479
Cannon Street,51.5113812,-0.0903632,River Thames,The Bolter,51.5117408,-0.0926706,165.107203
Catford,51.4444696,-0.0261521,River Ravensbourne,Catford Constitutional,51.44687,-0.0190818,559.41194054
Catford,51.4444696,-0.0261521,River Ravensbourne,Catford Constitutional,51.44687,-0.0190818,559.41194054
Catford,51.4444696,-0.0261521,River Ravensbourne,Catford Cricket Club,51.4417841,-0.019064,576.31139868
Catford,51.4444696,-0.0261521,River Ravensbourne,Catford Cricket Club,51.4417841,-0.019064,576.31139868
Catford,51.4444696,-0.0261521,River Ravensbourne,The Blythe Hill Tavern,51.4423194,-0.033722,578.12549376
Catford Bridge,51.4445909,-0.0249226,River Ravensbourne,Catford Constitutional,51.44687,-0.0190818,478.73582432
Catford Bridge,51.4445909,-0.0249226,River Ravensbourne,Catford Constitutional,51.44687,-0.0190818,478.73582432
Catford Bridge,51.4445909,-0.0249226,River Ravensbourne,Catford Cricket Club,51.4417841,-0.019064,513.25776846
Catford Bridge,51.4445909,-0.0249226,River Ravensbourne,Catford Cricket Club,51.4417841,-0.019064,513.25776846
Catford Bridge,51.4445909,-0.0249226,River Ravensbourne,The Blythe Hill Tavern,51.4423194,-0.033722,661.93287743
Chalk Farm,51.5441141,-0.1534811,River Fleet,The Pembroke Castle,51.5425434,-0.1548897,200.22080926
Chalk Farm,51.5441141,-0.1534811,River Fleet,The Pembroke Castle,51.5425434,-0.1548897,200.22080926
Chalk Farm,51.5441141,-0.1534811,River Fleet,The Lansdowne,51.5414171,-0.1533533,300.19553609
Chalk Farm,51.5441141,-0.1534811,River Fleet,The Lansdowne,51.5414171,-0.1533533,300.19553609
Chalk Farm,51.5441141,-0.1534811,River Fleet,The Dark Horse,51.5426466,-0.148964,353.35493367
Chancery Lane,51.5181738,-0.1117642,River Fleet,Horse and Wig,51.5190282,-0.1135508,156.25353904
Chancery Lane,51.5181738,-0.1117642,River Fleet,Horse and Wig,51.5190282,-0.1135508,156.25353904
Chancery Lane,51.5181738,-0.1117642,River Fleet,The Pregnant Man,51.5165968,-0.1122479,178.6378215
Chancery Lane,51.5181738,-0.1117642,River Fleet,The Pregnant Man,51.5165968,-0.1122479,178.6378215
Chancery Lane,51.5181738,-0.1117642,River Fleet,26 Furnival Street,51.5167141,-0.1103638,189.27277841
Charing Cross,51.5079664,-0.1263945,River Thames,Halfway II Heaven,51.5084752,-0.1267238,61.05058359
Charing Cross,51.5079664,-0.1263945,River Thames,Halfway II Heaven,51.5084752,-0.1267238,61.05058359
Charing Cross,51.5079664,-0.1263945,River Thames,Walkers of Whitehall,51.5067276,-0.1269618,143.34387869
Charing Cross,51.5079664,-0.1263945,River Thames,Walkers of Whitehall,51.5067276,-0.1269618,143.34387869
Charing Cross,51.5074975,-0.1236888,River Thames,The Retro Bar,51.5091024,-0.1235665,178.75972593
Charing Cross,51.5074975,-0.1236888,River Thames,The Retro Bar,51.5091024,-0.1235665,178.75972593
Charing Cross,51.5079664,-0.1263945,River Thames,The Admiralty,51.5072749,-0.128886,189.31935012
Charing Cross,51.5074975,-0.1236888,River Thames,Halfway II Heaven,51.5084752,-0.1267238,237.135589
Charing Cross,51.5074975,-0.1236888,River Thames,Halfway II Heaven,51.5084752,-0.1267238,237.135589
Charing Cross,51.5074975,-0.1236888,River Thames,Walkers of Whitehall,51.5067276,-0.1269618,242.85136706
Charlton,51.4867602,0.030809,River Thames,The River Ale House,51.4862674,0.0132944,1217.81662757
Charlton,51.4867602,0.030809,River Thames,The River Ale House,51.4862674,0.0132944,1217.81662757
Charlton,51.4867602,0.030809,River Thames,The Green Goddess,51.4771393,0.0188457,1355.14595483
Charlton,51.4867602,0.030809,River Thames,The Green Goddess,51.4771393,0.0188457,1355.14595483
Charlton,51.4867602,0.030809,River Thames,The Royal Standard,51.4767777,0.0187041,1393.06024351
City Thameslink,51.5153401,-0.1035311,River Fleet,White Haus,51.5154029,-0.1043348,56.22637881
City Thameslink,51.5153401,-0.1035311,River Fleet,White Haus,51.5154029,-0.1043348,56.22637881
City Thameslink,51.5153401,-0.1035311,River Fleet,The Albion,51.5139036,-0.1045738,175.44908252
City Thameslink,51.5153401,-0.1035311,River Fleet,The Albion,51.5139036,-0.1045738,175.44908252
City Thameslink,51.5153401,-0.1035311,River Fleet,Crown & Sugar Loaf,51.5140324,-0.1050005,177.68686609
Clapham Junction,51.4644589,-0.1705184,River Thames,The Junction,51.463322,-0.169801,135.9591702
Clapham Junction,51.4644589,-0.1705184,River Thames,The Junction,51.463322,-0.169801,135.9591702
Clapham Junction,51.4644589,-0.1705184,River Thames,Sports Bar and Grill,51.4637422,-0.1682895,174.21651779
Clapham Junction,51.4644589,-0.1705184,River Thames,Sports Bar and Grill,51.4637422,-0.1682895,174.21651779
Clapham Junction,51.4644589,-0.1705184,River Thames,The Plough,51.4615658,-0.1733056,375.66689083
Clapton,51.5616555,-0.0568709,River Lea,The Royal Sovereign,51.5626442,-0.0631966,452.24428138
Clapton,51.5616555,-0.0568709,River Lea,The Royal Sovereign,51.5626442,-0.0631966,452.24428138
Clapton,51.5616555,-0.0568709,River Lea,Coach & Horses,51.5617228,-0.0735286,1155.18125949
Clapton,51.5616555,-0.0568709,River Lea,Coach & Horses,51.5617228,-0.0735286,1155.18125949
Clapton,51.5616555,-0.0568709,River Lea,The Wheatsheaf,51.5661351,-0.0722466,1176.93977222
Colliers Wood,51.4182747,-0.1778626,River Wandle,The Royal Standard,51.4183453,-0.178222,26.20633228
Colliers Wood,51.4182747,-0.1778626,River Wandle,The Royal Standard,51.4183453,-0.178222,26.20633228
Colliers Wood,51.4182747,-0.1778626,River Wandle,The Sultan,51.4185272,-0.1853025,518.31439838
Colliers Wood,51.4182747,-0.1778626,River Wandle,The Sultan,51.4185272,-0.1853025,518.31439838
Colliers Wood,51.4182747,-0.1778626,River Wandle,The Merton Apprentice,51.4132666,-0.1832663,672.14077867
Covent Garden,51.5130942,-0.1242695,River Thames,The Langley,51.5132372,-0.1248695,44.58743729
Covent Garden,51.5130942,-0.1242695,River Thames,The Langley,51.5132372,-0.1248695,44.58743729
Covent Garden,51.5130942,-0.1242695,River Thames,The Crown and Anchor,51.5139755,-0.1249853,109.92416597
Covent Garden,51.5130942,-0.1242695,River Thames,The Crown and Anchor,51.5139755,-0.1249853,109.92416597
Covent Garden,51.5130942,-0.1242695,River Thames,Punch & Judy,51.5118249,-0.1230419,164.94189699
Cricklewood,51.5587554,-0.2129746,River Brent,Lucky 7,51.5572254,-0.2148383,213.73588
Cricklewood,51.5587554,-0.2129746,River Brent,Lucky 7,51.5572254,-0.2148383,213.73588
Cricklewood,51.5587554,-0.2129746,River Brent,McGovern's,51.5559388,-0.2145933,332.87348174
Cricklewood,51.5587554,-0.2129746,River Brent,McGovern's,51.5559388,-0.2145933,332.87348174
Cricklewood,51.5587554,-0.2129746,River Brent,The Beaten Docket,51.5536653,-0.2115593,574.76273005
Crofton Park,51.4552149,-0.0366299,River Ravensbourne,LDN Beer Dispensary,51.4546705,-0.0370883,68.43802771
Crofton Park,51.4552149,-0.0366299,River Ravensbourne,LDN Beer Dispensary,51.4546705,-0.0370883,68.43802771
Crofton Park,51.4552149,-0.0366299,River Ravensbourne,Crofton Park Tavern,51.4559687,-0.03659,83.91136034
Crofton Park,51.4552149,-0.0366299,River Ravensbourne,Crofton Park Tavern,51.4559687,-0.03659,83.91136034
Crofton Park,51.4552149,-0.0366299,River Ravensbourne,The Brockley Jack,51.4534062,-0.038511,239.98042321
Crossharbour,51.4959022,-0.0144418,River Thames,The Space Bar,51.4921523,-0.0241157,790.84801039
Crossharbour,51.4959022,-0.0144418,River Thames,The Space Bar,51.4921523,-0.0241157,790.84801039
