station_name,station_lat,station_lon,nearest_river,pub_name,pub_lat,pub_lon,distance_to_pub_m
Acton Town,51.5027051,-0.2799643,River Thames,The Aeronaut,51.508471,-0.275381,716.09632621
Acton Town,51.5027051,-0.2799643,River Thames,The Aeronaut,51.508471,-0.275381,716.09632621
Acton Town,51.5027051,-0.2799643,River Thames,The King's Head,51.5078444,-0.2730275,747.60810921
Addlestone,51.3731128,-0.4845082,The Bourne,The Waggon & Horses,51.3717235,-0.4984943,986.10046213
Addlestone,51.3731128,-0.4845082,The Bourne,The Waggon & Horses,51.3717235,-0.4984943,986.10046213
Addlestone,51.3731128,-0.4845082,The Bourne,Coach & Horses,51.3945675,-0.5068774,2850.02833241
Addlestone,51.3731128,-0.4845082,The Bourne,Coach & Horses,51.3945675,-0.5068774,2850.02833241
Addlestone,51.3731128,-0.4845082,The Bourne,Golden Grove,51.3931511,-0.5191031,3281.86286825
Albany Park,51.4353837,0.1259653,River Cray,The Hangar,51.4452939,0.1026691,1959.45480517
Albany Park,51.4353837,0.1259653,River Cray,The Hangar,51.4452939,0.1026691,1959.45480517
Albany Park,51.4353837,0.1259653,River Cray,Brewers Fayre,51.455812,0.1429912,2562.55612021
Albany Park,51.4353837,0.1259653,River Cray,Brewers Fayre,51.455812,0.1429912,2562.55612021
Albany Park,51.4353837,0.1259653,River Cray,Prince Albert,51.455451,0.1528343,2911.03503373
Aldermaston,51.4022099,-1.1367025,River Kennet,The Six Bells,51.4162843,-1.1613662,2323.09843077
Aldermaston,51.4022099,-1.1367025,River Kennet,The Six Bells,51.4162843,-1.1613662,2323.09843077
Aldermaston,51.4022099,-1.1367025,River Kennet,The Old Boot,51.4385219,-1.1712132,4699.36805882
Aldermaston,51.4022099,-1.1367025,River Kennet,The Old Boot,51.4385219,-1.1712132,4699.36805882
Aldermaston,51.4022099,-1.1367025,River Kennet,The Falcon,51.4377199,-1.0751935,5823.68753294
Aldershot,51.2462832,-0.7599088,River Blackwater,The Running Stream,51.2353219,-0.7754122,1630.72815495
Aldershot,51.2462832,-0.7599088,River Blackwater,The Running Stream,51.2353219,-0.7754122,1630.72815495
Aldershot,51.2462832,-0.7599088,River Blackwater,Cricketers,51.2309583,-0.7619208,1710.71901314
Aldershot,51.2462832,-0.7599088,River Blackwater,Cricketers,51.2309583,-0.7619208,1710.71901314
Aldershot,51.2462832,-0.7599088,River Blackwater,The Crown,51.2283057,-0.7660692,2045.79892895
Aldgate,51.5142477,-0.0757186,River Thames,Hoop and Grapes,51.5142543,-0.0742015,105.31790862
Aldgate,51.5142477,-0.0757186,River Thames,Hoop and Grapes,51.5142543,-0.0742015,105.31790862
Aldgate,51.5142477,-0.0757186,River Thames,Duke of Somerset,51.513604,-0.0737842,152.18862457
Aldgate,51.5142477,-0.0757186,River Thames,Duke of Somerset,51.513604,-0.0737842,152.18862457
Aldgate,51.5142477,-0.0757186,River Thames,City Bar & Kitchen,51.5152081,-0.0774089,158.69938354
Aldgate East,51.5156185,-0.070839,River Thames,The Castle,51.5148862,-0.0687963,163.53887226
Aldgate East,51.5156185,-0.070839,River Thames,The Castle,51.5148862,-0.0687963,163.53887226
Aldgate East,51.5156185,-0.070839,River Thames,The Buxton,51.5172501,-0.0702726,185.73778852
Aldgate East,51.5156185,-0.070839,River Thames,The Buxton,51.5172501,-0.0702726,185.73778852
Aldgate East,51.5156185,-0.070839,River Thames,Black Horse,51.5137054,-0.0707311,212.97964834
Alexandra Palace,51.5982024,-0.1206625,Ravine,P.J. O'Connor's,51.5982203,-0.1109739,671.33732328
Alexandra Palace,51.5982024,-0.1206625,Ravine,P.J. O'Connor's,51.5982203,-0.1109739,671.33732328
Alexandra Palace,51.5982024,-0.1206625,Ravine,Duke of Edinburgh,51.5948058,-0.112239,695.35093014
Alexandra Palace,51.5982024,-0.1206625,Ravine,Duke of Edinburgh,51.5948058,-0.112239,695.35093014
Alexandra Palace,51.5982024,-0.1206625,Ravine,Karamel,51.5944758,-0.1124687,703.05445651
All Saints,51.5108398,-0.0130551,Bow Creek,The Manor Arms,51.5107112,-0.0191418,422.8060708
All Saints,51.5108398,-0.0130551,Bow Creek,The Manor Arms,51.5107112,-0.0191418,422.8060708
All Saints,51.5108398,-0.0130551,Bow Creek,The Tommy Flowers,51.513588,-0.0053807,614.27571792
All Saints,51.5108398,-0.0130551,Bow Creek,The Tommy Flowers,51.513588,-0.0053807,614.27571792
All Saints,51.5108398,-0.0130551,Bow Creek,Sports Bar & Grill,51.5062159,-0.0185144,638.99540858
Alperton,51.5408036,-0.3000963,River Brent,The Fox and Goose,51.5332135,-0.2956664,898.66120039
Alperton,51.5408036,-0.3000963,River Brent,The Fox and Goose,51.5332135,-0.2956664,898.66120039
Alperton,51.5408036,-0.3000963,River Brent,Heather Park,51.5427082,-0.2850591,1064.53993422
Alperton,51.5408036,-0.3000963,River Brent,Heather Park,51.5427082,-0.2850591,1064.53993422
Alperton,51.5408036,-0.3000963,River Brent,Crystals of London,51.5326153,-0.2855402,1360.14535233
Alresford,51.0883048,-1.1610285,River Alre,The Bell,51.0905019,-1.1622796,259.66941109
Alresford,51.0883048,-1.1610285,River Alre,The Bell,51.0905019,-1.1622796,259.66941109
Alresford,51.0883048,-1.1610285,River Alre,Horse and Groom,51.0907506,-1.1610573,272.10270894
Alresford,51.0883048,-1.1610285,River Alre,Horse and Groom,51.0907506,-1.1610573,272.10270894
Alresford,51.0883048,-1.1610285,River Alre,The Horse & Groom,51.0911632,-1.1612334,318.32085953
Alresford,51.8539985,0.9970365,River Colne,The Anchor,51.8565648,0.9488796,3330.23835754
Alresford,51.8539985,0.9970365,River Colne,The Anchor,51.8565648,0.9488796,3330.23835754
Alresford,51.8539985,0.9970365,River Colne,The Whalebone,51.8448925,0.9439365,3796.70609759
Alresford,51.8539985,0.9970365,River Colne,The Whalebone,51.8448925,0.9439365,3796.70609759
Alresford,51.8539985,0.9970365,River Colne,The Cherry Tree,51.8575578,0.910746,5958.46086199
Althorne,51.6477849,0.7517966,River Crouch,Royal Oak,51.593424,0.7402577,6100.76851148
Althorne,51.6477849,0.7517966,River Crouch,Royal Oak,51.593424,0.7402577,6100.76851148
Althorne,51.6477849,0.7517966,River Crouch,Cherry Tree,51.5843613,0.7272703,7258.1164541
Althorne,51.6477849,0.7517966,River Crouch,Cherry Tree,51.5843613,0.7272703,7258.1164541
Althorne,51.6477849,0.7517966,River Crouch,The Miley,51.5827701,0.7036468,7965.37163842
Alton,51.1518972,-0.9671299,River Wey,The Swan,51.1487517,-0.9754014,676.33100207
Alton,51.1518972,-0.9671299,River Wey,The Swan,51.1487517,-0.9754014,676.33100207
Alton,51.1518972,-0.9671299,River Wey,Binsted Inn,51.1637232,-0.8952785,5195.99732941
Alton,51.1518972,-0.9671299,River Wey,Binsted Inn,51.1637232,-0.8952785,5195.99732941
Alton,51.1518972,-0.9671299,River Wey,The Sun Inn,51.1577842,-1.0428479,5337.8483239
Amberley,50.8986123,-0.539083,River Arun,The Labouring Man,50.9398921,-0.5413591,4595.03112337
Amberley,50.8986123,-0.539083,River Arun,The Labouring Man,50.9398921,-0.5413591,4595.03112337
Amberley,50.8966534,-0.5419326,River Arun,Saint Mary's Gate Inn,50.8554494,-0.5596616,4750.59228875
Amberley,50.8966534,-0.5419326,River Arun,Saint Mary's Gate Inn,50.8554494,-0.5596616,4750.59228875
Amberley,50.8966534,-0.5419326,River Arun,The Red Lion,50.8543848,-0.5541198,4779.80986415
Amberley,50.8966534,-0.5419326,River Arun,The Red Lion,50.8543848,-0.5541198,4779.80986415
Amberley,50.8966534,-0.5419326,River Arun,The Labouring Man,50.9398921,-0.5413591,4810.33224368
Amberley,50.8986123,-0.539083,River Arun,Saint Mary's Gate Inn,50.8554494,-0.5596616,5015.38717592
Amberley,50.8986123,-0.539083,River Arun,Saint Mary's Gate Inn,50.8554494,-0.5596616,5015.38717592
Amberley,50.8986123,-0.539083,River Arun,The Red Lion,50.8543848,-0.5541198,5032.6697968
Ammanford,51.7955509,-3.996828,River Loughor,Great Western,51.7960597,-3.9965112,60.683405
Ammanford,51.7955509,-3.996828,River Loughor,Great Western,51.7960597,-3.9965112,60.683405
Ammanford,51.7955509,-3.996828,River Loughor,Golden Grove Inn,51.8202487,-4.0073995,2843.05588525
Ammanford,51.7955509,-3.996828,River Loughor,Golden Grove Inn,51.8202487,-4.0073995,2843.05588525
Ammanford,51.7955509,-3.996828,River Loughor,King's Head,51.7843793,-4.0447429,3532.02185729
Amnerfield Miniature Railway,51.4191905,-1.0218192,River Kennet,The World Upside Down,51.4294804,-0.9685951,3874.99680461
Amnerfield Miniature Railway,51.4191905,-1.0218192,River Kennet,The World Upside Down,51.4294804,-0.9685951,3874.99680461
Amnerfield Miniature Railway,51.4191905,-1.0218192,River Kennet,Spread Eagle,51.4542225,-1.0030577,4110.0908535
Amnerfield Miniature Railway,51.4191905,-1.0218192,River Kennet,Spread Eagle,51.4542225,-1.0030577,4110.0908535
Amnerfield Miniature Railway,51.4191905,-1.0218192,River Kennet,Foresters Arms,51.4505631,-0.9894374,4153.74636911
Andover,51.211559,-1.4927767,River Anton,The Malt House,51.2072268,-1.4970968,568.71107569
Andover,51.211559,-1.4927767,River Anton,The Malt House,51.2072268,-1.4970968,568.71107569
Andover,51.211559,-1.4927767,River Anton,The Anton Arms,51.2037913,-1.494704,874.60706051
Andover,51.211559,-1.4927767,River Anton,The Anton Arms,51.2037913,-1.494704,874.60706051
Andover,51.211559,-1.4927767,River Anton,The Globe,51.2074869,-1.479556,1028.97233753
Anerley,51.4125891,-0.0655796,Pool River,BR3WERY Craft Brewing Co.,51.4099147,-0.0456995,1414.80549049
Anerley,51.4125891,-0.0655796,Pool River,BR3WERY Craft Brewing Co.,51.4099147,-0.0456995,1414.80549049
Anerley,51.4125891,-0.0655796,Pool River,Kent House Tavern,51.4164144,-0.045372,1468.85675091
Anerley,51.4125891,-0.0655796,Pool River,Kent House Tavern,51.4164144,-0.045372,1468.85675091
Anerley,51.4125891,-0.0655796,Pool River,The Albion,51.3996517,-0.0745544,1569.0001987
Angel,51.5324874,-0.1060356,River Fleet,The Islington,51.5337144,-0.1069716,151.17708777
Angel,51.5324874,-0.1060356,River Fleet,The Islington,51.5337144,-0.1069716,151.17708777
Angel,51.5324874,-0.1060356,River Fleet,The Angelic,51.5347892,-0.1072883,270.44467353
Angel,51.5324874,-0.1060356,River Fleet,The Angelic,51.5347892,-0.1072883,270.44467353
Angel,51.5324874,-0.1060356,River Fleet,Pearl and Feather,51.5298098,-0.1048949,308.24263776
Appledore,51.0332869,0.8165763,Engine Sewer,Red Lion,51.0218927,0.8365911,1891.67912988
Appledore,51.0332869,0.8165763,Engine Sewer,Red Lion,51.0218927,0.8365911,1891.67912988
Appledore,51.0332869,0.8165763,Engine Sewer,The Woolpack Inn,51.0578566,0.837512,3102.71664961
Appledore,51.0332869,0.8165763,Engine Sewer,The Woolpack Inn,51.0578566,0.837512,3102.71664961
Appledore,51.0332869,0.8165763,Engine Sewer,The Ferry Inn,51.0260611,0.7681383,3491.85401211
Appleford,51.6394882,-1.2424741,River Thames,The Railway Inn,51.6534686,-1.2369398,1601.94401328
Appleford,51.6394882,-1.2424741,River Thames,The Railway Inn,51.6534686,-1.2369398,1601.94401328
Appleford,51.6394882,-1.2424741,River Thames,The Plough,51.6402263,-1.2123851,2084.6125206
Appleford,51.6394882,-1.2424741,River Thames,The Plough,51.6402263,-1.2123851,2084.6125206
Appleford,51.6394882,-1.2424741,River Thames,The Vine and Spice,51.6409754,-1.2098079,2267.43506145
Apsley,51.732365,-0.4629888,River Gade section,The Three Tuns,51.7314881,-0.4529353,701.39009736
Apsley,51.732365,-0.4629888,River Gade section,The Three Tuns,51.7314881,-0.4529353,701.39009736
Apsley,51.732365,-0.4629888,River Gade section,Greenacres Tavern Freehouse,51.7414121,-0.4490706,1392.00137815
Apsley,51.732365,-0.4629888,River Gade section,Greenacres Tavern Freehouse,51.7414121,-0.4490706,1392.00137815
Apsley,51.732365,-0.4629888,River Gade section,The Queens Head,51.7446977,-0.4719188,1504.44548516
Arlesey,52.0258212,-0.266464,River Hiz,Fox & Duck,52.0196794,-0.2433127,1729.88580739
Arlesey,52.0258212,-0.266464,River Hiz,Fox & Duck,52.0196794,-0.2433127,1729.88580739
Arlesey,52.0258212,-0.266464,River Hiz,The Stag,52.0137959,-0.2318763,2725.4233085
Arlesey,52.0258212,-0.266464,River Hiz,The Stag,52.0137959,-0.2318763,2725.4233085
Arlesey,52.0258212,-0.266464,River Hiz,The Crown,52.0221903,-0.2257427,2824.20745045
Arnos Grove,51.6164256,-0.1330981,Pymmes Brook,Arnos Arms,51.6161752,-0.1320087,80.43463606
Arnos Grove,51.6164256,-0.1330981,Pymmes Brook,Arnos Arms,51.6161752,-0.1320087,80.43463606
Arnos Grove,51.6164256,-0.1330981,Pymmes Brook,The Ranelagh,51.6087366,-0.1271943,948.20059865
Arnos Grove,51.6164256,-0.1330981,Pymmes Brook,The Ranelagh,51.6087366,-0.1271943,948.20059865
Arnos Grove,51.6164256,-0.1330981,Pymmes Brook,Springfield Tavern,51.6055519,-0.1227375,1406.67056934
Arundel,50.8480121,-0.5462656,River Arun,The White Hart,50.8531472,-0.5521566,706.00545913
Arundel,50.8480121,-0.5462656,River Arun,The White Hart,50.8531472,-0.5521566,706.00545913
Arundel,50.8480121,-0.5462656,River Arun,The Swan,50.8538051,-0.5537588,832.92549306
Arundel,50.8480121,-0.5462656,River Arun,The Swan,50.8538051,-0.5537588,832.92549306
Arundel,50.8480121,-0.5462656,River Arun,The Red Lion,50.8543848,-0.5541198,899.17504609
Ascott-under-Wychwood,51.8674576,-1.5639687,River Evenlode,The Wychwood Inn,51.8603534,-1.5981608,2484.45708361
Ascott-under-Wychwood,51.8674576,-1.5639687,River Evenlode,The Wychwood Inn,51.8603534,-1.5981608,2484.45708361
Ascott-under-Wychwood,51.8674576,-1.5639687,River Evenlode,The Shaven Crown,51.8585598,-1.597114,2488.68648267
Ascott-under-Wychwood,51.8674576,-1.5639687,River Evenlode,The Shaven Crown,51.8585598,-1.597114,2488.68648267
Ascott-under-Wychwood,51.8674576,-1.5639687,River Evenlode,The Lamb Inn,51.8540993,-1.5994832,2862.70514807
Ash,51.2497298,-0.7129145,River Blackwater,The Lion Brewery,51.2520307,-0.7065872,510.56901239
Ash,51.2497298,-0.7129145,River Blackwater,The Lion Brewery,51.2520307,-0.7065872,510.56901239
Ash,51.2497298,-0.7129145,River Blackwater,White Hart,51.2325933,-0.732119,2330.93622024
Ash,51.2497298,-0.7129145,River Blackwater,White Hart,51.2325933,-0.732119,2330.93622024
Ash,51.2497298,-0.7129145,River Blackwater,Elephant and Castle,51.2749564,-0.7457711,3624.42856651
Ashchurch for Tewkesbury,51.9990255,-2.1087299,Tirle Brook,Inferno Brewery,51.9981379,-2.1535268,3078.24410294
Ashchurch for Tewkesbury,51.9990255,-2.1087299,Tirle Brook,Inferno Brewery,51.9981379,-2.1535268,3078.24410294
Ashchurch for Tewkesbury,51.9990255,-2.1087299,Tirle Brook,The Anchor,51.9952557,-2.1566088,3315.08111234
Ashchurch for Tewkesbury,51.9990255,-2.1087299,Tirle Brook,The Anchor,51.9952557,-2.1566088,3315.08111234
Ashchurch for Tewkesbury,51.9990255,-2.1087299,Tirle Brook,The Britannia Inn,51.9944157,-2.157024,3356.40851901
Ashford,51.436496,-0.4683126,River Ash,The Happy Landing,51.4512858,-0.4752273,1714.25676081
Ashford,51.436496,-0.4683126,River Ash,The Happy Landing,51.4512858,-0.4752273,1714.25676081
Ashford,51.436496,-0.4683126,River Ash,The Old Red Lion,51.4330058,-0.4995179,2204.47373602
Ashford,51.436496,-0.4683126,River Ash,The Old Red Lion,51.4330058,-0.4995179,2204.47373602
Ashford,51.436496,-0.4683126,River Ash,The Five Bells,51.4571449,-0.4785802,2405.67328648
Ashford International,51.143379,0.8752323,Great Stour,The Swan,51.1482617,0.8720556,586.93132328
Ashford International,51.143379,0.8752323,Great Stour,The Swan,51.1482617,0.8720556,586.93132328
Ashford International,51.143379,0.8752323,Great Stour,The Players Bar,51.148211,0.8716629,592.76058032
Ashford International,51.143379,0.8752323,Great Stour,The Players Bar,51.148211,0.8716629,592.76058032
Ashford International,51.143379,0.8752323,Great Stour,The County Hotel,51.1490338,0.8752104,629.10444602
Ashley Down,51.4781307,-2.5766511,River Frome,Canteen,51.4629405,-2.5896689,1916.86485611
Ashley Down,51.4781307,-2.5766511,River Frome,Canteen,51.4629405,-2.5896689,1916.86485611
Ashley Down,51.4781307,-2.5766511,River Frome,The Ill Repute,51.4565351,-2.5792263,2409.32114839
Ashley Down,51.4781307,-2.5766511,River Frome,The Ill Repute,51.4565351,-2.5792263,2409.32114839
Ashley Down,51.4781307,-2.5766511,River Frome,Brewers Fayre,51.4579032,-2.5936977,2543.17041399
Ashurst,51.1284231,0.1526024,River Medway,The Crown Inn,51.1183307,0.1853689,2554.05691387
Ashurst,51.1284231,0.1526024,River Medway,The Crown Inn,51.1183307,0.1853689,2554.05691387
Ashurst,51.1284231,0.1526024,River Medway,The Junction,51.1134576,0.1869004,2922.08224624
Ashurst,51.1284231,0.1526024,River Medway,The Junction,51.1134576,0.1869004,2922.08224624
Ashurst,51.1284231,0.1526024,River Medway,The Dorset Arms,51.1006206,0.1355637,3315.18679852
Ashurst New Forest,50.8898464,-1.5264572,Bartley Water,The New Forest,50.8904328,-1.5270726,78.29815326
Ashurst New Forest,50.8898464,-1.5264572,Bartley Water,The New Forest,50.8904328,-1.5270726,78.29815326
Ashurst New Forest,50.8898464,-1.5264572,Bartley Water,Forest Inn,50.8958635,-1.513379,1137.88653632
Ashurst New Forest,50.8898464,-1.5264572,Bartley Water,Forest Inn,50.8958635,-1.513379,1137.88653632
Ashurst New Forest,50.8898464,-1.5264572,Bartley Water,The New Inn,50.9069028,-1.4969815,2810.75689276
Ash Vale,51.2725337,-0.7214571,River Blackwater,Elephant and Castle,51.2749564,-0.7457711,1717.99850063
Ash Vale,51.2725337,-0.7214571,River Blackwater,Elephant and Castle,51.2749564,-0.7457711,1717.99850063
Ash Vale,51.2725337,-0.7214571,River Blackwater,The North Camp,51.2748867,-0.7464089,1760.80104201
Ash Vale,51.2725337,-0.7214571,River Blackwater,The North Camp,51.2748867,-0.7464089,1760.80104201
Ash Vale,51.2725337,-0.7214571,River Blackwater,The Lion Brewery,51.2520307,-0.7065872,2506.07119235
Avoncliff,51.33956,-2.2818436,River Avon,Kettlesmith Brewing Company,51.3365886,-2.2506437,2199.19443065
Avoncliff,51.33956,-2.2818436,River Avon,Kettlesmith Brewing Company,51.3365886,-2.2506437,2199.19443065
Avoncliff,51.33956,-2.2818436,River Avon,The Plough,51.343052,-2.2482465,2373.11011443
Avoncliff,51.33956,-2.2818436,River Avon,The Plough,51.343052,-2.2482465,2373.11011443
Avoncliff,51.33956,-2.2818436,River Avon,South Wraxall Club,51.3768595,-2.2408445,5037.4838098
Avonmouth,51.4997221,-2.6988623,River Avon,The Balloon,51.4565586,-2.6132752,7643.11814003
Avonmouth,51.4997221,-2.6988623,River Avon,The Balloon,51.4565586,-2.6132752,7643.11814003
Avonmouth,51.4997221,-2.6988623,River Avon,The Beckford,51.4588842,-2.6034942,8033.65462255
Avonmouth,51.4997221,-2.6988623,River Avon,The Beckford,51.4588842,-2.6034942,8033.65462255
Avonmouth,51.4997221,-2.6988623,River Avon,Canteen,51.4629405,-2.5896689,8618.97786978
Avon Riverside,51.4155504,-2.4577535,River Avon,Butchers Arms,51.441313,-2.498705,4040.71178432
Avon Riverside,51.4155504,-2.4577535,River Avon,Butchers Arms,51.441313,-2.498705,4040.71178432
Avon Riverside,51.4155504,-2.4577535,River Avon,The Lyons Den,51.4625861,-2.5060208,6216.79640624
Avon Riverside,51.4155504,-2.4577535,River Avon,The Lyons Den,51.4625861,-2.5060208,6216.79640624
Avon Riverside,51.4155504,-2.4577535,River Avon,The Chase Inn,51.4627011,-2.5082015,6310.57755846
Axminster,50.7790074,-3.0049453,River Axe,Axminster Inn,50.7810285,-2.998803,488.08052126
Axminster,50.7790074,-3.0049453,River Axe,Axminster Inn,50.7810285,-2.998803,488.08052126
Axminster,50.7790074,-3.0049453,River Axe,The Castle Inn,50.7829836,-2.9981223,653.61895396
Axminster,50.7790074,-3.0049453,River Axe,The Castle Inn,50.7829836,-2.9981223,653.61895396
Axminster,50.7790074,-3.0049453,River Axe,The Red Lion,50.7818799,-2.9965934,670.1396873
Aylesbury,51.8134286,-0.8143149,River Thame,Queen's Head,51.8167542,-0.8144192,370.08891701
Aylesbury,51.8134286,-0.8143149,River Thame,Queen's Head,51.8167542,-0.8144192,370.08891701
Aylesbury,51.8134286,-0.8143149,River Thame,The King's Head,51.8167568,-0.8135748,373.80889741
Aylesbury,51.8134286,-0.8143149,River Thame,The King's Head,51.8167568,-0.8135748,373.80889741
Aylesbury,51.8134286,-0.8143149,River Thame,The White Hart,51.8153916,-0.8098354,378.32661185
Aylesbury Vale Parkway,51.8312778,-0.859831,River Thame,Hop Pole Inn,51.8219904,-0.8209137,2875.18931229
Aylesbury Vale Parkway,51.8312778,-0.859831,River Thame,Hop Pole Inn,51.8219904,-0.8209137,2875.18931229
Aylesbury Vale Parkway,51.8312778,-0.859831,River Thame,Rose and Crown,51.8040519,-0.854744,3049.50180207
Aylesbury Vale Parkway,51.8312778,-0.859831,River Thame,Rose and Crown,51.8040519,-0.854744,3049.50180207
Aylesbury Vale Parkway,51.8312778,-0.859831,River Thame,Bugle Horn,51.8012012,-0.8481199,3442.50538882
Aylesford,51.3015328,0.4657666,River Medway,Kilnbarn,51.2943573,0.4557863,1059.1690488
Aylesford,51.3015328,0.4657666,River Medway,Kilnbarn,51.2943573,0.4557863,1059.1690488
Aylesford,51.3015328,0.4657666,River Medway,The Little Gem,51.3035424,0.4808518,1075.53895486
Aylesford,51.3015328,0.4657666,River Medway,The Little Gem,51.3035424,0.4808518,1075.53895486
Aylesford,51.3015328,0.4657666,River Medway,The Bush,51.3039675,0.4825521,1201.54820193
Balcombe,51.0555957,-0.137032,Ouse,Half Moon Pub,51.0604353,-0.1327949,614.91789251
Balcombe,51.0555957,-0.137032,Ouse,Half Moon Pub,51.0604353,-0.1327949,614.91789251
Balcombe,51.0555957,-0.137032,Ouse,The Red Lion,51.0535412,-0.2007408,4472.80539346
Balcombe,51.0555957,-0.137032,Ouse,The Red Lion,51.0535412,-0.2007408,4472.80539346
Balcombe,51.0555957,-0.137032,Ouse,The Crown,51.1034445,-0.0849549,6454.03233446
Banbury,52.0605712,-1.3277563,River Cherwell,Tap Social,52.063778,-1.3344038,578.93557081
Banbury,52.0605712,-1.3277563,River Cherwell,Tap Social,52.063778,-1.3344038,578.93557081
Banbury,52.0605712,-1.3277563,River Cherwell,Cock Horse,52.0488125,-1.3275561,1308.4437096
Banbury,52.0605712,-1.3277563,River Cherwell,Cock Horse,52.0488125,-1.3275561,1308.4437096
Banbury,52.0605712,-1.3277563,River Cherwell,Horse & Jockey,52.037358,-1.3312448,2593.95657802
Bank,51.5131048,-0.0893749,River Thames,Forge,51.5132004,-0.0871776,152.90810169
Bank,51.5131048,-0.0893749,River Thames,Forge,51.5132004,-0.0871776,152.90810169
Bank,51.5131048,-0.0893749,River Thames,The Cannick Tapps,51.5116546,-0.0897347,163.26841319
Bank,51.5131048,-0.0893749,River Thames,The Cannick Tapps,51.5116546,-0.0897347,163.26841319
Bank,51.5131048,-0.0893749,River Thames,Pitcher and Piano,51.5132258,-0.0867502,182.7046504
Barbican,51.5201501,-0.0986832,River Fleet,Sports Bar & Grill,51.5204548,-0.1033955,328.83125914
Barbican,51.5201501,-0.0986832,River Fleet,Sports Bar & Grill,51.5204548,-0.1033955,328.83125914
Barbican,51.5201501,-0.0986832,River Fleet,The Castle,51.5202193,-0.1041739,381.18635685
Barbican,51.5201501,-0.0986832,River Fleet,The Castle,51.5202193,-0.1041739,381.18635685
Barbican,51.5201501,-0.0986832,River Fleet,Clerkenwell Social,51.5221729,-0.1032382,388.07594688
Bargoed,51.6929046,-3.2300431,Rhymney River,The Square Royale,51.690584,-3.2287653,272.89378585
Bargoed,51.6929046,-3.2300431,Rhymney River,The Square Royale,51.690584,-3.2287653,272.89378585
